FID,globalid,uniq_id,timestamp,editor,scdy_edtor,wardname,wardcode,lganame,lgacode,statename,statecode,mrkt_frqcy,mrkt_setnm,prdct_desc,mrkt_gds_o,mrkt_type,source,market_nam,mrkt_mon,mrkt_tue,mrkt_wed,mrkt_thur,mrkt_fri,mrkt_sat,mrkt_sun,mrkt_days,set_type,x,y
3595,7d8145c2-2ca8-4b4f-a631-17e3e5e66508,117185,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 1,AKSNGD05,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Afaha Afaha Ikot Obio Nkan, , , ,OSGOF,Urua Afaha Market Afaha Ikot Obio Nkan, , , , , , , ,0,BUA,7.93365999960935,4.98940000040972
3596,d050fe38-8e02-4243-bfab-7ac46d396ef7,117184,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 1,AKSNGD05,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Ikot Atang Mbikpong Ikot Edim, , , ,OSGOF,Ikot Atang Market Mbikpong Ikot Edim, , , , , , , ,0,BUA,7.91731999971825,4.98323000006451
3597,388a2677-cbb1-41cc-9cc2-fe6b3873c188,118729,1/9/2019 12:00:00 AM,mokobia.chidinma, ,Tudun Wada,KD2310,Zaria,19023,Kaduna,KD, ,Tudun Wada, , , ,KDBS,Tudun Wada, , , , , , , ,0, ,7.71662500044346,11.0900883302123
3598,232b71e7-9272-460a-8eeb-64fb32390b66,117183,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 1,AKSNGD05,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Etaha Afaha Atai, , , ,OSGOF,Urua Etaha Market Afaha Atai, , , , , , , ,0,BUA,7.93492999971977,4.97810999957687
3599,141b929d-e3d7-4ff8-905a-d8a69056428b,117182,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 2,AKSNGD08,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Essien Nung Ette, , , ,OSGOF,Urua Essien Market Nung Ette, , , , , , , ,0,BUA,7.94613999956135,4.96876999963581
3600,79bb0c64-8be0-4f3e-85f8-44d977d85a05,117181,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 2,AKSNGD08,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Fionetok Ikot Ambon, , , ,OSGOF,Fionetok Market Ikot Ambon, , , , , , , ,0,BUA,7.93439999956036,4.96486999965083
3601,d3b69d08-4876-42ee-bc9b-7253bcb02b3e,117180,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 5,AKSNGD02,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Unua Ukana Nung Ukana Ikot Obio Akpan, , , ,OSGOF,Unua Ukana Market Nung Ukana Ikot Obio Akpan, , , , , , , ,0,BUA,7.93874000005098,4.92754999993258
3602,8a4a9e39-080e-4fd1-8cdf-58af9ad0ff78,117179,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 3,AKSNGD03,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Ikot Ide Akpakma Nung Udoe, , , ,OSGOF,Ikot Ide Akpakma Market Nung Udoe, , , , , , , ,0,BUA,7.97112000038777,4.92609000005353
3603,444d1c7c-9257-4b82-a5ce-44fffa3543ef,117178,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Ibesikpo 3,AKSNGD03,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Fionaran Nung Udoe, , , ,OSGOF,Fionaran Market Nung Udoe, , , , , , , ,0,BUA,7.96472000022789,4.91849999987517
3604,c3565e4a-f9cd-4d41-9e93-be4798570f63,117177,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Asutan 5,AKSNGD09,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Akpasia Ikot Enua, , , ,OSGOF,Akpasia Market Ikot Enua, , , , , , , ,0,BUA,8.02010000001502,4.85673999995106
3605,73856b8e-c2e6-4a2b-ad95-5e8fc9c544d5,117176,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Asutan 5,AKSNGD09,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Ikot Ikan Ikot Akpasia, , , ,OSGOF,Urua Ikot Ikan Market Ikot Akpasia, , , , , , , ,0,HA,8.00893000021938,4.85632000036776
3606,c0a5cccb-4513-4328-bf27-8b65cc2cdea2,117175,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Asutan 5,AKSNGD09,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Ikot Ossom Ndikpo Atang, , , ,OSGOF,Urua Ikot Ossom Market Ndikpo Atang, , , , , , , ,0,HA,7.9780200002229,4.85296000010396
3607,b06ab236-c235-451f-9c1e-9b8e899ddc5e,117174,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Asutan 4,AKSNGD06,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Ederebo Ikot Atang Esen, , , ,OSGOF,Urua Ederebo Market Ikot Atang Esen, , , , , , , ,0,HA,7.93876000007401,4.82753000010945
3608,6dab1504-29d2-40a6-a9a0-cf71cb534a6f,117173,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Asutan 4,AKSNGD06,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Ikot Mbang Ikot Atang Esen, , , ,OSGOF,Ikot Mbang Market Ikot Atang Esen, , , , , , , ,0,HA,7.94034999965282,4.82084000006597
3609,435edad1-a338-4cbb-bda6-d65016e86079,117172,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Asutan 4,AKSNGD06,Ibesikpo Asutan,3009,Akwa Ibom,AK, ,Urua Nyieiso Ikot Itok, , , ,OSGOF,Urua Nyieiso Market Ikot Itok, , , , , , , ,0,HA,7.95105000025734,4.80197999997705
3610,62bccb75-697a-466e-8d3f-fe3a9bb2d521,117171,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Okposo,AKSPNG07,Ibeno,3008,Akwa Ibom,AK, ,Adaha Okpo, , , ,OSGOF,Adaha Okpo Market, , , , , , , ,0,BUA,7.96885999958937,4.57148000040172
3611,44d6396b-2709-48b1-8a6a-f686291b34dd,117170,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Okposo,AKSPNG07,Ibeno,3008,Akwa Ibom,AK, ,Fresh Fish Adaha Esuk, , , ,OSGOF,Fresh Fish Market Adaha Esuk, , , , , , , ,0,BUA,7.97283000010447,4.5673099996568
3612,99317f26-6f79-4f96-8270-a5067d04143f,117169,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Okposo,AKSPNG07,Ibeno,3008,Akwa Ibom,AK, ,Iwuo Achang, , , ,OSGOF,Iwuo Achang Market, , , , , , , ,0,BUA,7.96973000013946,4.56705000025738
3613,822e8674-29ff-4fe1-b6ef-cc661baa3967,117168,10/30/2018 12:00:00 AM,racheal.olarewaju, ,Mkpanak,AKSPNG05,Ibeno,3008,Akwa Ibom,AK, ,Iwuo Okpom, , , ,OSGOF,Iwuo Okpom Market, , , , , , , ,0,BUA,7.99077000003552,4.54478000029684
3614,8fa43650-00aa-485f-a419-ed7678825dec,117167,10/30/2018 12:00:00 AM,racheal.olarewaju, ,North Iman 2,AKSETN02,Etinan,3007,Akwa Ibom,AK, ,Uruaobom Ikot Esua, , , ,OSGOF,Uruaobom Market Ikot Esua, , , , , , , ,0,HA,7.85356999975573,4.89645000016742
